system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
63558799B62052207870559_0,63558799B62052207870559,1,Mokhotlong District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,92357.078125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B62052207870559_1,63558799B62052207870559,1,Mokhotlong District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,114677.109375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B62052207870559_2,63558799B62052207870559,1,Mokhotlong District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,114677.109375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B62052207870559_3,63558799B62052207870559,1,Mokhotlong District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,114677.109375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B83139219064193_0,63558799B83139219064193,1,Maseru District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,394699.21875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B83139219064193_1,63558799B83139219064193,1,Maseru District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,456482.6875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B83139219064193_2,63558799B83139219064193,1,Maseru District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,456482.6875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B83139219064193_3,63558799B83139219064193,1,Maseru District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,456482.6875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B80267127102175_0,63558799B80267127102175,1,Butha-Buthe District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,107696.96875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B80267127102175_1,63558799B80267127102175,1,Butha-Buthe District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,106976.015625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B80267127102175_2,63558799B80267127102175,1,Butha-Buthe District,0,0,0,0,1.7658216953277588,343.30255126953125,0,0,2,LSO,0,0,0,0,106976.015625,30.29458236694336,8413.1328125,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B80267127102175_3,63558799B80267127102175,1,Butha-Buthe District,0,0,0,0,1.7658216953277588,343.30255126953125,0,0,2,LSO,0,0,0,0,106976.015625,30.29458236694336,8413.1328125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B8829159228001_0,63558799B8829159228001,1,Mohale's Hoek District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,176733.53125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B8829159228001_1,63558799B8829159228001,1,Mohale's Hoek District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,156449.6875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B8829159228001_2,63558799B8829159228001,1,Mohale's Hoek District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,156449.6875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B8829159228001_3,63558799B8829159228001,1,Mohale's Hoek District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,156449.6875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B33254441338778_0,63558799B33254441338778,1,Mafeteng District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,207361.71875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B33254441338778_1,63558799B33254441338778,1,Mafeteng District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,164155.6875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B33254441338778_2,63558799B33254441338778,1,Mafeteng District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,164155.6875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B33254441338778_3,63558799B33254441338778,1,Mafeteng District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,164155.6875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B90026421394578_0,63558799B90026421394578,1,Quthing District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,125672.6171875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B90026421394578_1,63558799B90026421394578,1,Quthing District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,116271.96875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B90026421394578_2,63558799B90026421394578,1,Quthing District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,116271.96875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B90026421394578_3,63558799B90026421394578,1,Quthing District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,116271.96875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B64035332832072_0,63558799B64035332832072,1,Berea District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,255780.921875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B64035332832072_1,63558799B64035332832072,1,Berea District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,280447.46875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B64035332832072_2,63558799B64035332832072,1,Berea District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,280447.46875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B64035332832072_3,63558799B64035332832072,1,Berea District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,280447.46875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B97764260128978_0,63558799B97764260128978,1,Thaba-Tseka District,0,0.5573617219924927,0,0,0,0,1,0,0,LSO,0,8.432761192321777,0,0,125366.609375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B97764260128978_1,63558799B97764260128978,1,Thaba-Tseka District,0,0.5573617219924927,0,0,0,0,1,0,0,LSO,0,8.588236808776855,0,0,123161.3984375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B97764260128978_2,63558799B97764260128978,1,Thaba-Tseka District,0,0,0,0,0,4.7175374031066895,0,0,1,LSO,0,0,0,0,123161.3984375,0,97.26875305175781,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B97764260128978_3,63558799B97764260128978,1,Thaba-Tseka District,0,0.5573617219924927,0,0,0,4.7175374031066895,1,0,1,LSO,0,8.588236808776855,0,0,123161.3984375,0,97.26875305175781,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B57972026302791_0,63558799B57972026302791,1,Qacha's Nek District,67.945037841796875,268.40789794921875,0,0,0,0,1,0,0,LSO,1347.3272705078125,7106.9140625,0,0,70686.96875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B57972026302791_1,63558799B57972026302791,1,Qacha's Nek District,67.945037841796875,268.40789794921875,0,0,0,0,1,0,0,LSO,1316.2086181640625,7355.3173828125,0,0,67827.2265625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B57972026302791_2,63558799B57972026302791,1,Qacha's Nek District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,67827.2265625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B57972026302791_3,63558799B57972026302791,1,Qacha's Nek District,67.945037841796875,268.40789794921875,0,0,0,0,1,0,0,LSO,1316.2086181640625,7355.3173828125,0,0,67827.2265625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B58245420334254_0,63558799B58245420334254,1,Leribe District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,295137.5625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B58245420334254_1,63558799B58245420334254,1,Leribe District,0,0,0,0,0,0,0,0,0,LSO,0,0,0,0,272948.1875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B58245420334254_2,63558799B58245420334254,1,Leribe District,0,0,0,0,71.61668395996094,585.44854736328125,0,0,2,LSO,0,0,0,0,272948.1875,2386.92529296875,22714.59375,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
63558799B58245420334254_3,63558799B58245420334254,1,Leribe District,0,0,0,0,71.61668395996094,585.44854736328125,0,0,2,LSO,0,0,0,0,272948.1875,2386.92529296875,22714.59375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
