system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
27540722B39676432794686_0,27540722B39676432794686,1,Diana,1635.240234375,2000.5450439453125,2017.8214111328125,3351.27587890625,0,0,3,3,0,MDG,18340.91015625,30242.162109375,22484.45703125,88979.4375,390842.84375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B39676432794686_1,27540722B39676432794686,1,Diana,1635.240234375,2045.9930419921875,2017.8214111328125,3422.746337890625,0,0,4,4,0,MDG,36099.375,73516.078125,46613.73828125,236679.171875,944289.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B39676432794686_2,27540722B39676432794686,1,Diana,0,0,0,0,0,0,0,0,0,MDG,0,0,0,0,944289.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B39676432794686_3,27540722B39676432794686,1,Diana,1635.240234375,2045.9930419921875,2017.8214111328125,3422.746337890625,0,0,4,4,0,MDG,36099.375,73516.078125,46613.73828125,236679.171875,944289.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B96967449701393_0,27540722B96967449701393,1,Sava,276.8904724121094,848.057861328125,3201.865478515625,3137.027099609375,0,0,2,3,0,MDG,12932.2646484375,37952.0625,48599.62109375,138390.421875,721975.375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B96967449701393_1,27540722B96967449701393,1,Sava,276.8904724121094,848.057861328125,3201.865478515625,3137.027099609375,0,20.28719711303711,2,3,1,MDG,17454.662109375,54237.5859375,59420.6328125,185657.84375,1085986,0,3382.34228515625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B96967449701393_2,27540722B96967449701393,1,Sava,0,0,0,0,0,0,0,0,0,MDG,0,0,0,0,1085986,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B96967449701393_3,27540722B96967449701393,1,Sava,276.8904724121094,848.057861328125,3201.865478515625,3137.027099609375,0,20.28719711303711,2,3,1,MDG,17454.662109375,54237.5859375,59420.6328125,185657.84375,1085986,0,3382.34228515625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B29762949035073_0,27540722B29762949035073,1,Analanjirofo,929.63116455078125,1669.0635986328125,829.6986083984375,1513.5474853515625,0,0,2,2,0,MDG,9986.6611328125,37767.18359375,20431.248046875,51831.328125,767439.875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B29762949035073_1,27540722B29762949035073,1,Analanjirofo,936.4390869140625,2354.84375,829.6986083984375,1513.5474853515625,222.46109008789062,815.15936279296875,4,2,5,MDG,17699.53515625,121285.796875,31252.478515625,109118.7265625,1191469.875,4662.30615234375,58812.61328125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B29762949035073_2,27540722B29762949035073,1,Analanjirofo,0,0,0,0,0,0,0,0,0,MDG,0,0,0,0,1191469.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B29762949035073_3,27540722B29762949035073,1,Analanjirofo,936.4390869140625,2354.84375,829.6986083984375,1513.5474853515625,222.46109008789062,815.15936279296875,4,2,5,MDG,17699.53515625,121285.796875,31252.478515625,109118.7265625,1191469.875,4662.30615234375,58812.61328125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B26835460634378_0,27540722B26835460634378,1,Amoron'i Mania,0,0,0,0.8234550952911377,0,0,0,1,0,MDG,0,0,0,60.835975646972656,681444.625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B26835460634378_1,27540722B26835460634378,1,Amoron'i Mania,2.638370990753174,464.9649963378906,0,0.8234550952911377,0,0,1,1,0,MDG,65.87763977050781,16153.2490234375,0,58.836551666259766,687363.125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B26835460634378_2,27540722B26835460634378,1,Amoron'i Mania,0,0,0,0,0,0,0,0,0,MDG,0,0,0,0,687363.125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B26835460634378_3,27540722B26835460634378,1,Amoron'i Mania,2.638370990753174,464.9649963378906,0,0.8234550952911377,0,0,1,1,0,MDG,65.87763977050781,16153.2490234375,0,58.836551666259766,687363.125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B59079602855311_0,27540722B59079602855311,1,Ihorombe,527.74114990234375,1255.5296630859375,1423.327392578125,2443.656982421875,0,0,2,3,0,MDG,2841.229248046875,8552.994140625,6446.2744140625,11817.7548828125,153729.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B59079602855311_1,27540722B59079602855311,1,Ihorombe,527.74114990234375,1255.5296630859375,1423.327392578125,2443.656982421875,0,0,2,3,1,MDG,6760.3544921875,26152.794921875,19947.78125,44656.68359375,578227.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B59079602855311_2,27540722B59079602855311,1,Ihorombe,0,0,0,0,0,0,0,0,0,MDG,0,0,0,0,578227.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B59079602855311_3,27540722B59079602855311,1,Ihorombe,527.74114990234375,1255.5296630859375,1423.327392578125,2443.656982421875,0,0,2,3,1,MDG,6760.3544921875,26152.794921875,19947.78125,44656.68359375,578227.75,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B85261442939952_0,27540722B85261442939952,1,Melaky,685.89715576171875,2982.6982421875,2240.291748046875,2557.177978515625,0,0.513264536857605,4,2,1,MDG,1857.77880859375,11322.4482421875,4538.17138671875,9372.244140625,137106.296875,0,4.7498955726623535,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B85261442939952_1,27540722B85261442939952,1,Melaky,806.89239501953125,3167.91845703125,2240.291748046875,2557.177978515625,129.93829345703125,808.8287353515625,5,2,3,MDG,11541.9150390625,45930.30078125,22281.123046875,45963.17578125,512584.4375,1172.8565673828125,11664.0498046875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B85261442939952_2,27540722B85261442939952,1,Melaky,0,0,0,0,0,0,0,0,0,MDG,0,0,0,0,512584.4375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
