system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
92416918B70420899930674_0,92416918B70420899930674,1,Bamako,8.882711410522461,157.13906860351562,0,0,0,0,2,0,0,MLI,16448.650390625,1039328.375,0,0,1218516.625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B70420899930674_1,92416918B70420899930674,1,Bamako,8.882711410522461,157.13906860351562,0,0,0,0,2,0,0,MLI,27647.453125,2191195.5,0,0,2682963.25,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B70420899930674_2,92416918B70420899930674,1,Bamako,0,0,0,0,0,0,0,0,0,MLI,0,0,0,0,2682963.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B70420899930674_3,92416918B70420899930674,1,Bamako,8.882711410522461,157.13906860351562,0,0,0,0,2,0,0,MLI,27647.453125,2191195.5,0,0,2682963.25,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B98496355207236_0,92416918B98496355207236,1,Gao,15527.7421875,5612.904296875,0,0,0,0,5,0,0,MLI,32521.322265625,186486.140625,0,0,391517.4375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B98496355207236_1,92416918B98496355207236,1,Gao,18069.072265625,7948.6123046875,0,0,0,0,6,0,0,MLI,78827.4453125,361967.78125,0,0,842870.3125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B98496355207236_2,92416918B98496355207236,1,Gao,0,0,0,0,0,0,0,0,0,MLI,0,0,0,0,842870.3125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B98496355207236_3,92416918B98496355207236,1,Gao,18069.072265625,7948.6123046875,0,0,0,0,6,0,0,MLI,78827.4453125,361967.78125,0,0,842870.3125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B67011525583155_0,92416918B67011525583155,1,Kayes,2699.293701171875,11760.8125,0,0,0,0,25,0,0,MLI,9575.0576171875,343482.8125,0,0,1595177.875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B67011525583155_1,92416918B67011525583155,1,Kayes,3515.038330078125,13546.931640625,2034.6318359375,3755.40576171875,219.88250732421875,2249.748291015625,28,6,1,MLI,28463.1328125,683285.125,3956.2265625,42654.46875,2857259,31316.275390625,114238.1015625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B67011525583155_2,92416918B67011525583155,1,Kayes,0,0,0,0,0,0,0,0,0,MLI,0,0,0,0,2857259,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B67011525583155_3,92416918B67011525583155,1,Kayes,3515.038330078125,13546.931640625,2034.6318359375,3755.40576171875,219.88250732421875,2249.748291015625,28,6,1,MLI,28463.1328125,683285.125,3956.2265625,42654.46875,2857259,31316.275390625,114238.1015625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B67702032852187_0,92416918B67702032852187,1,Kidal,0,0,0,0,0,0,0,0,0,MLI,0,0,0,0,47099.203125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B67702032852187_1,92416918B67702032852187,1,Kidal,1040.050537109375,2011.04150390625,0,0,0,0,2,0,0,MLI,0,0,0,0,122060.609375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B67702032852187_2,92416918B67702032852187,1,Kidal,0,0,0,0,0,0,0,0,0,MLI,0,0,0,0,122060.609375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B67702032852187_3,92416918B67702032852187,1,Kidal,1040.050537109375,2011.04150390625,0,0,0,0,2,0,0,MLI,0,0,0,0,122060.609375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B61022065682725_0,92416918B61022065682725,1,Koulikouro,2672.954345703125,9585.16015625,0,0,0,0,22,0,0,MLI,4306.021484375,420922.375,0,0,1816403.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B61022065682725_1,92416918B61022065682725,1,Koulikouro,2676.529296875,9822.568359375,0,0,1.5324907302856445,399.9234313964844,23,0,1,MLI,9545.1416015625,1168297.75,0,0,3775478,3.038677453994751,8202.6416015625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92416918B61022065682725_2,92416918B61022065682725,1,Koulikouro,0,0,0,0,0,0,0,0,0,MLI,0,0,0,0,3775478,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
