system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
14279143B81467460095364_0,14279143B81467460095364,1,Uvs,656.06317138671875,1027.398681640625,7771.552734375,13461.3828125,0,38.19750213623047,2,9,2,MNG,1716.60302734375,2954.48193359375,4452.89208984375,13225.501953125,89592.4140625,0,13.28334903717041,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B81467460095364_1,14279143B81467460095364,1,Uvs,1124.1151123046875,2200.609619140625,7777.7548828125,13455.1806640625,0,38.19750213623047,4,10,2,MNG,938.34918212890625,2876.45263671875,3323.898193359375,9451.2080078125,58587.1484375,0,7.9386305809021,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B81467460095364_2,14279143B81467460095364,1,Uvs,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,58587.1484375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B81467460095364_3,14279143B81467460095364,1,Uvs,1124.1151123046875,2200.609619140625,7777.7548828125,13455.1806640625,0,38.19750213623047,4,10,2,MNG,938.34918212890625,2876.45263671875,3323.898193359375,9451.2080078125,58587.1484375,0,7.9386305809021,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B22317554045022_0,14279143B22317554045022,1,Khovd,486.5621032714844,1249.9700927734375,21329.72265625,9734.5908203125,0,64.28782653808594,1,5,1,MNG,659.40679931640625,792.86199951171875,10164.921875,7784.7744140625,86638.2734375,0,71.156219482421875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B22317554045022_1,14279143B22317554045022,1,Khovd,1006.8943481445312,2077.52880859375,27131.541015625,14834.45703125,0,64.28782653808594,2,7,1,MNG,361.999755859375,1005.1660766601562,8752.0341796875,8876.193359375,66701.875,0,34.36079025268555,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B22317554045022_2,14279143B22317554045022,1,Khovd,0,0,0,0,0,0,0,0,0,MNG,0,0,0,0,66701.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B22317554045022_3,14279143B22317554045022,1,Khovd,1006.8943481445312,2077.52880859375,27131.541015625,14834.45703125,0,64.28782653808594,2,7,1,MNG,361.999755859375,1005.1660766601562,8752.0341796875,8876.193359375,66701.875,0,34.36079025268555,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B63368554420497_0,14279143B63368554420497,1,Zavkhan,0,0,6799.677734375,5058.78076171875,0,2.6102144718170166,0,4,1,MNG,0,0,3078.866943359375,3454.274169921875,89455.6953125,0,0.5820050239562988,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14279143B63368554420497_1,14279143B63368554420497,1,Zavkhan,0,0,9879.2734375,11602.14453125,0,2.6102144718170166,0,7,1,MNG,0,0,2525.58203125,3320.111328125,46553.85546875,0,0.14173857867717743,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
