system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
82672581B12520625652479_0,82672581B12520625652479,1,Central Region,1774.59716796875,1907.493896484375,2313.852294921875,1378.46630859375,1089.7120361328125,2629.45458984375,1,1,6,MWI,461.1925048828125,180957.640625,387.3350524902344,95388.1640625,4619325,9021.037109375,377431,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B12520625652479_1,82672581B12520625652479,1,Central Region,1774.59716796875,1907.493896484375,2313.852294921875,1378.46630859375,1089.7120361328125,2629.45458984375,1,1,6,MWI,532.09429931640625,316916.96875,474.41058349609375,154612.5,8456093,15943.5986328125,656862.3125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B12520625652479_2,82672581B12520625652479,1,Central Region,0,0,0,0,0,0,0,0,0,MWI,0,0,0,0,8456093,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B12520625652479_3,82672581B12520625652479,1,Central Region,1774.59716796875,1907.493896484375,2313.852294921875,1378.46630859375,1089.7120361328125,2629.45458984375,1,1,6,MWI,532.09429931640625,316916.96875,474.41058349609375,154612.5,8456093,15943.5986328125,656862.3125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B71595037145626_0,82672581B71595037145626,1,Southern Region,931.77911376953125,1585.009765625,1482.373291015625,3140.665283203125,2591.347412109375,9116.6748046875,2,3,23,MWI,4953.9443359375,105103.015625,5458.90869140625,428706.6875,5215968.5,115070.4453125,2777145.75,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B71595037145626_1,82672581B71595037145626,1,Southern Region,931.77911376953125,1585.009765625,1482.373291015625,3140.665283203125,3175.64111328125,9578.3447265625,2,3,24,MWI,9225.21875,172638.921875,11870.6875,714550,8294558.5,201696.875,4518561,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B71595037145626_2,82672581B71595037145626,1,Southern Region,0,0,0,0,0,0,0,0,0,MWI,0,0,0,0,8294558.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B71595037145626_3,82672581B71595037145626,1,Southern Region,931.77911376953125,1585.009765625,1482.373291015625,3140.665283203125,3175.64111328125,9578.3447265625,2,3,24,MWI,9225.21875,172638.921875,11870.6875,714550,8294558.5,201696.875,4518561,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B33227208107325_0,82672581B33227208107325,1,Northern Region,974.87939453125,1161.4947509765625,3089.447265625,2456.7880859375,2282.099365234375,6985.2529296875,2,1,18,MWI,1355.2738037109375,50568.11328125,611.92034912109375,137917.78125,1385776.375,12588.990234375,512495.3125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B33227208107325_1,82672581B33227208107325,1,Northern Region,974.87939453125,1161.4947509765625,3089.447265625,2456.7880859375,2282.099365234375,6985.2529296875,2,1,18,MWI,1903.01513671875,88813.8203125,748.632568359375,254639.0625,2597259.25,22748.05859375,983573.9375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B33227208107325_2,82672581B33227208107325,1,Northern Region,0,0,0,0,0,0,0,0,0,MWI,0,0,0,0,2597259.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B33227208107325_3,82672581B33227208107325,1,Northern Region,974.87939453125,1161.4947509765625,3089.447265625,2456.7880859375,2282.099365234375,6985.2529296875,2,1,18,MWI,1903.01513671875,88813.8203125,748.632568359375,254639.0625,2597259.25,22748.05859375,983573.9375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
