system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
82672581B12520625652479_0,82672581B12520625652479,1,Central Region,1772.6029052734375,1902.83935546875,2286.595458984375,1347.6324462890625,1088.46875,2578.7841796875,1,1,6,MWI,599.0743408203125,169983.6875,502.77899169921875,88089.171875,4294562.5,10932.806640625,350497.9375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B12520625652479_1,82672581B12520625652479,1,Central Region,1772.6029052734375,1902.83935546875,2286.595458984375,1347.6324462890625,1088.46875,2578.7841796875,1,1,6,MWI,888.34259033203125,297925.15625,423.71685791015625,136861.875,8148634,18128.58203125,606090.75,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B12520625652479_2,82672581B12520625652479,1,Central Region,0,0,0,0,0,0,0,0,0,MWI,0,0,0,0,8148634,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B12520625652479_3,82672581B12520625652479,1,Central Region,1772.6029052734375,1902.83935546875,2286.595458984375,1347.6324462890625,1088.46875,2578.7841796875,1,1,6,MWI,888.34259033203125,297925.15625,423.71685791015625,136861.875,8148634,18128.58203125,606090.75,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B71595037145626_0,82672581B71595037145626,1,Southern Region,928.9185791015625,1566.72509765625,1471.3380126953125,3112.30078125,2364.25146484375,9055.65625,2,3,23,MWI,4916.171875,99157.796875,6216.21875,394022.25,4854653.5,122443.421875,2572916.75,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B71595037145626_1,82672581B71595037145626,1,Southern Region,928.9185791015625,1566.72509765625,1471.3380126953125,3112.30078125,2938.1259765625,9513.8671875,2,3,24,MWI,9764.7158203125,163117.140625,19854.11328125,653300.9375,7760761.5,240039.9375,4209674.5,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B71595037145626_2,82672581B71595037145626,1,Southern Region,0,0,0,0,0,0,0,0,0,MWI,0,0,0,0,7760761.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B71595037145626_3,82672581B71595037145626,1,Southern Region,928.9185791015625,1566.72509765625,1471.3380126953125,3112.30078125,2938.1259765625,9513.8671875,2,3,24,MWI,9764.7158203125,163117.140625,19854.11328125,653300.9375,7760761.5,240039.9375,4209674.5,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B33227208107325_0,82672581B33227208107325,1,Northern Region,965.57763671875,1127.501708984375,3081.96875,2431.195068359375,2280.98095703125,6971.72998046875,2,1,18,MWI,1607.6683349609375,46030.25390625,740.724609375,129659.5859375,1285987.875,13748.5263671875,474018.65625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B33227208107325_1,82672581B33227208107325,1,Northern Region,965.57763671875,1127.501708984375,3081.96875,2431.195068359375,2280.98095703125,6971.72998046875,2,1,18,MWI,2528.2548828125,78165.8515625,906.4942626953125,243380.3125,2404867,27325.279296875,916244.5,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B33227208107325_2,82672581B33227208107325,1,Northern Region,0,0,0,0,0,0,0,0,0,MWI,0,0,0,0,2404867,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
82672581B33227208107325_3,82672581B33227208107325,1,Northern Region,965.57763671875,1127.501708984375,3081.96875,2431.195068359375,2280.98095703125,6971.72998046875,2,1,18,MWI,2528.2548828125,78165.8515625,906.4942626953125,243380.3125,2404867,27325.279296875,916244.5,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
