system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
87150794B58281898249288_0,87150794B58281898249288,1,Tahoua/Agadez,59660.57421875,12489.11328125,12743.50390625,5944.2783203125,0,13.675808906555176,1,1,1,NER,8868.0849609375,4109.615234375,682.53826904296875,425.24334716796875,2173433,0,6.497546195983887,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B58281898249288_1,87150794B58281898249288,1,Tahoua/Agadez,97267.1796875,13916.81640625,12743.50390625,5944.2783203125,3715.18017578125,6177.455078125,2,1,5,NER,26843.86328125,7923.83154296875,2540.764892578125,1528.2340087890625,5618706,27594.71484375,145999.625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B58281898249288_2,87150794B58281898249288,1,Tahoua/Agadez,0,0,0,0,0,0,0,0,0,NER,0,0,0,0,5618706,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B58281898249288_3,87150794B58281898249288,1,Tahoua/Agadez,97267.1796875,13916.81640625,12743.50390625,5944.2783203125,3715.18017578125,6177.455078125,2,1,5,NER,26843.86328125,7923.83154296875,2540.764892578125,1528.2340087890625,5618706,27594.71484375,145999.625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B47488127174201_0,87150794B47488127174201,1,Dossa,4561.95166015625,2228.643798828125,78.55059051513672,408.3425598144531,0,0,1,2,0,NER,210459.625,126892.75,1330.0819091796875,14344.998046875,1480472.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B47488127174201_1,87150794B47488127174201,1,Dossa,4561.95166015625,2228.643798828125,78.55059051513672,408.3425598144531,0,60.27970504760742,1,2,1,NER,375909.625,255720.03125,3147.0439453125,22578.755859375,2571302.75,0,1457.8995361328125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B47488127174201_2,87150794B47488127174201,1,Dossa,0,0,0,0,0,0,0,0,0,NER,0,0,0,0,2571302.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B47488127174201_3,87150794B47488127174201,1,Dossa,4561.95166015625,2228.643798828125,78.55059051513672,408.3425598144531,0,60.27970504760742,1,2,1,NER,375909.625,255720.03125,3147.0439453125,22578.755859375,2571302.75,0,1457.8995361328125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B29979307394387_0,87150794B29979307394387,1,Niamey,0,0,0,0,0,0,0,0,0,NER,0,0,0,0,627720.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B29979307394387_1,87150794B29979307394387,1,Niamey,0,0,0,0,0,0,0,0,0,NER,0,0,0,0,1193020.625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B29979307394387_2,87150794B29979307394387,1,Niamey,0,0,0,0,0,0,0,0,0,NER,0,0,0,0,1193020.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B29979307394387_3,87150794B29979307394387,1,Niamey,0,0,0,0,0,0,0,0,0,NER,0,0,0,0,1193020.625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B24708462658640_0,87150794B24708462658640,1,Tillaberi,676.02752685546875,946.80926513671875,2095.56298828125,459.50592041015625,0,0,2,2,0,NER,10559.2177734375,17146.400390625,22836.626953125,6655.8701171875,1842740,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B24708462658640_1,87150794B24708462658640,1,Tillaberi,11736.4970703125,4375.6240234375,2193.463134765625,1184.803955078125,0,0,3,3,0,NER,618127.125,184572.671875,54589.8671875,61877.83984375,3703886.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B24708462658640_2,87150794B24708462658640,1,Tillaberi,0,0,0,0,0,0,0,0,0,NER,0,0,0,0,3703886.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B24708462658640_3,87150794B24708462658640,1,Tillaberi,11736.4970703125,4375.6240234375,2193.463134765625,1184.803955078125,0,0,3,3,0,NER,618127.125,184572.671875,54589.8671875,61877.83984375,3703886.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B5839560144768_0,87150794B5839560144768,1,Maradi,276.2800598144531,994.488037109375,0,0,0,0,1,0,0,NER,796.5810546875,3114.607666015625,0,0,2131801.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B5839560144768_1,87150794B5839560144768,1,Maradi,276.2800598144531,994.488037109375,0,0,0,0,1,0,0,NER,5166.341796875,22030.623046875,0,0,4612494,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B5839560144768_2,87150794B5839560144768,1,Maradi,0,0,0,0,0,0,0,0,0,NER,0,0,0,0,4612494,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B5839560144768_3,87150794B5839560144768,1,Maradi,276.2800598144531,994.488037109375,0,0,0,0,1,0,0,NER,5166.341796875,22030.623046875,0,0,4612494,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B17606801029036_0,87150794B17606801029036,1,Zinder/Diffa,0,0,0,0,0,0,0,0,0,NER,0,0,0,0,2299726.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B17606801029036_1,87150794B17606801029036,1,Zinder/Diffa,59607.60546875,6883.35302734375,0,0,269.2861633300781,992.5313720703125,1,0,1,NER,15976.935546875,3558.400390625,0,0,6094699,33579.1171875,138000.65625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B17606801029036_2,87150794B17606801029036,1,Zinder/Diffa,0,0,0,0,0,0,0,0,0,NER,0,0,0,0,6094699,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87150794B17606801029036_3,87150794B17606801029036,1,Zinder/Diffa,59607.60546875,6883.35302734375,0,0,269.2861633300781,992.5313720703125,1,0,1,NER,15976.935546875,3558.400390625,0,0,6094699,33579.1171875,138000.65625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
