system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
36201628B49646111072560_0,36201628B49646111072560,1,ARMM,0,0,0,0,1495.8843994140625,3318.51318359375,0,0,12,PHL,0,0,0,0,4958682.5,878317,1058873,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B49646111072560_1,36201628B49646111072560,1,ARMM,35.285430908203125,471.8651123046875,0,255.64515686035156,1452.798095703125,3160.223876953125,1,2,12,PHL,95.36053466796875,31377.73046875,0,31185.556640625,2031862.875,436968.71875,484114.25,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B49646111072560_2,36201628B49646111072560,1,ARMM,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,2031862.875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B49646111072560_3,36201628B49646111072560,1,ARMM,35.285430908203125,471.8651123046875,0,255.64515686035156,1452.798095703125,3160.223876953125,1,2,12,PHL,95.36053466796875,31377.73046875,0,31185.556640625,2031862.875,436968.71875,484114.25,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B92932511992503_0,36201628B92932511992503,1,CAR,0,0,760.71002197265625,1478.4661865234375,269.6424255371094,1622.3604736328125,0,1,9,PHL,0,0,48142.98046875,473856.4375,1267882.75,19313.380859375,152322.546875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B92932511992503_1,36201628B92932511992503,1,CAR,0,243.71054077148438,760.71002197265625,1598.770751953125,263.2227783203125,1481.9150390625,3,4,9,PHL,0,29745.232421875,94126.703125,782703.9375,2052854.5,32564.564453125,174754.46875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B92932511992503_2,36201628B92932511992503,1,CAR,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,2052854.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B92932511992503_3,36201628B92932511992503,1,CAR,0,243.71054077148438,760.71002197265625,1598.770751953125,263.2227783203125,1481.9150390625,3,4,9,PHL,0,29745.232421875,94126.703125,782703.9375,2052854.5,32564.564453125,174754.46875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B69282955287113_0,36201628B69282955287113,1,NCR,0,0,0,0,4.778664588928223,406.84844970703125,0,0,4,PHL,0,0,0,0,11193240,148561.109375,8683272,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B69282955287113_1,36201628B69282955287113,1,NCR,0.51960289478302,272.8003234863281,0,0,0.25735926628112793,238.89083862304688,4,0,5,PHL,464.83447265625,5372775.5,0,0,13328347,977.43389892578125,6815721.5,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B69282955287113_2,36201628B69282955287113,1,NCR,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,13328347,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B69282955287113_3,36201628B69282955287113,1,NCR,0.51960289478302,272.8003234863281,0,0,0.25735926628112793,238.89083862304688,4,0,5,PHL,464.83447265625,5372775.5,0,0,13328347,977.43389892578125,6815721.5,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B64564033926366_0,36201628B64564033926366,1,Ilocos Region,0,0,0,0,246.1029510498047,2666.69091796875,0,0,12,PHL,0,0,0,0,3855165.5,69441.6015625,871886.125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B64564033926366_1,36201628B64564033926366,1,Ilocos Region,33.632083892822266,1426.4539794921875,44.74130630493164,678.42303466796875,226.47193908691406,2511.7255859375,5,2,12,PHL,628.0198974609375,387441.21875,153.24822998046875,63594.14453125,5602618,85860.4140625,1168933.25,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B64564033926366_2,36201628B64564033926366,1,Ilocos Region,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,5602618,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B64564033926366_3,36201628B64564033926366,1,Ilocos Region,33.632083892822266,1426.4539794921875,44.74130630493164,678.42303466796875,226.47193908691406,2511.7255859375,5,2,12,PHL,628.0198974609375,387441.21875,153.24822998046875,63594.14453125,5602618,85860.4140625,1168933.25,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B63748016552864_0,36201628B63748016552864,1,Cagayan Valley,38.524227142333984,689.73614501953125,11.088064193725586,778.20263671875,391.965576171875,3429.98583984375,1,2,12,PHL,513.1292724609375,91510.9375,122.08114624023438,112395.5859375,2537666.5,5208.49560546875,200866.390625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B63748016552864_1,36201628B63748016552864,1,Cagayan Valley,3719.540283203125,4169.4052734375,2943.791015625,2921.432373046875,184.77369689941406,2007.0703125,10,5,13,PHL,96991.15625,712185.6875,37080.96875,309203.9375,4024452.5,415.32122802734375,253233.6875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B63748016552864_2,36201628B63748016552864,1,Cagayan Valley,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,4024452.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B63748016552864_3,36201628B63748016552864,1,Cagayan Valley,3719.540283203125,4169.4052734375,2943.791015625,2921.432373046875,184.77369689941406,2007.0703125,10,5,13,PHL,96991.15625,712185.6875,37080.96875,309203.9375,4024452.5,415.32122802734375,253233.6875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B47630810559445_0,36201628B47630810559445,1,Central Luzon,0,0,0,0,2133.023193359375,5455.46484375,0,0,18,PHL,0,0,0,0,7891813.5,60605.2890625,1962143.5,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B47630810559445_1,36201628B47630810559445,1,Central Luzon,201.0614471435547,2545.41259765625,199.6110076904297,709.73541259765625,1492.804443359375,4291.6591796875,11,1,19,PHL,6213.61328125,327845.28125,4550.48876953125,608807.875,11697837,66912.4296875,2552950.75,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B47630810559445_2,36201628B47630810559445,1,Central Luzon,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,11697837,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B47630810559445_3,36201628B47630810559445,1,Central Luzon,201.0614471435547,2545.41259765625,199.6110076904297,709.73541259765625,1492.804443359375,4291.6591796875,11,1,19,PHL,6213.61328125,327845.28125,4550.48876953125,608807.875,11697837,66912.4296875,2552950.75,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B13373758884154_0,36201628B13373758884154,1,Calabarzon,0,0,0,0,1272.05908203125,5205.20458984375,0,0,18,PHL,0,0,0,0,9641542,107067.765625,2784275.5,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B13373758884154_1,36201628B13373758884154,1,Calabarzon,816.0279541015625,4390.16162109375,0,0,815.207763671875,3585.74365234375,11,0,20,PHL,541223.5,6715590,0,0,15974793,50698.2890625,2054436,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B13373758884154_2,36201628B13373758884154,1,Calabarzon,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,15974793,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B13373758884154_3,36201628B13373758884154,1,Calabarzon,816.0279541015625,4390.16162109375,0,0,815.207763671875,3585.74365234375,11,0,20,PHL,541223.5,6715590,0,0,15974793,50698.2890625,2054436,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B45254163682963_0,36201628B45254163682963,1,Mimaropa,1252.37890625,1003.862060546875,211.32688903808594,572.5875244140625,10979.3291015625,5558.9189453125,2,1,14,PHL,33619.5859375,31067.75390625,2653.220703125,2778.03271484375,2006295.625,581696.5,539350.3125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B45254163682963_1,36201628B45254163682963,1,Mimaropa,2748.8212890625,3597.5859375,1432.683837890625,2469.0029296875,9004.044921875,3278.6845703125,6,4,14,PHL,103603.34375,576451.6875,13041.9140625,149868.625,3448621,874353.5,742398.0625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B45254163682963_2,36201628B45254163682963,1,Mimaropa,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,3448621,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B45254163682963_3,36201628B45254163682963,1,Mimaropa,2748.8212890625,3597.5859375,1432.683837890625,2469.0029296875,9004.044921875,3278.6845703125,6,4,14,PHL,103603.34375,576451.6875,13041.9140625,149868.625,3448621,874353.5,742398.0625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B47773222326566_0,36201628B47773222326566,1,Zamboanga Peninsula,0,0,0,0,80.61144256591797,1480.5269775390625,0,0,3,PHL,0,0,0,0,2649900,15331.9619140625,631915.625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B47773222326566_1,36201628B47773222326566,1,Zamboanga Peninsula,51.88239669799805,1285.9041748046875,140.474365234375,1722.7789306640625,78.89862823486328,1301.8173828125,7,4,4,PHL,1777.3294677734375,379544.28125,6994.3955078125,872000.4375,3925864.5,17553.318359375,387915.75,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B47773222326566_2,36201628B47773222326566,1,Zamboanga Peninsula,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,3925864.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B47773222326566_3,36201628B47773222326566,1,Zamboanga Peninsula,51.88239669799805,1285.9041748046875,140.474365234375,1722.7789306640625,78.89862823486328,1301.8173828125,7,4,4,PHL,1777.3294677734375,379544.28125,6994.3955078125,872000.4375,3925864.5,17553.318359375,387915.75,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B13149248482964_0,36201628B13149248482964,1,Bicol Region,0.5340320467948914,19.354299545288086,0,0,120.06348419189453,4096.65478515625,2,0,13,PHL,180.31503295898438,12109.2626953125,0,0,4088753.75,12789.1328125,957951.0625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B13149248482964_1,36201628B13149248482964,1,Bicol Region,66.96977996826172,1524.980224609375,737.1002197265625,3397.843017578125,88.62273406982422,3644.93359375,6,6,13,PHL,5310.033203125,514438.8125,8403.25390625,1642235.125,6606903,17424.560546875,1433055.125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B13149248482964_2,36201628B13149248482964,1,Bicol Region,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,6606903,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B13149248482964_3,36201628B13149248482964,1,Bicol Region,66.96977996826172,1524.980224609375,737.1002197265625,3397.843017578125,88.62273406982422,3644.93359375,6,6,13,PHL,5310.033203125,514438.8125,8403.25390625,1642235.125,6606903,17424.560546875,1433055.125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B91065962446027_0,36201628B91065962446027,1,Western Visayas,0,0,68.73088073730469,852.723388671875,628.40203857421875,3775.095703125,0,2,8,PHL,0,0,965.7955322265625,136820.953125,5875760,14483.16796875,597166.6875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B91065962446027_1,36201628B91065962446027,1,Western Visayas,0,0,1100.80224609375,3121.86376953125,628.40203857421875,3775.095703125,0,5,8,PHL,0,0,58840.3984375,1072793.375,8138498,19610.087890625,922183.75,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B91065962446027_2,36201628B91065962446027,1,Western Visayas,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,8138498,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B91065962446027_3,36201628B91065962446027,1,Western Visayas,0,0,1100.80224609375,3121.86376953125,628.40203857421875,3775.095703125,0,5,8,PHL,0,0,58840.3984375,1072793.375,8138498,19610.087890625,922183.75,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B88329767373181_0,36201628B88329767373181,1,Central Visayas,0,0,0,0,278.0942687988281,3200.17724609375,0,0,10,PHL,0,0,0,0,5308286.5,87430.5703125,846805.75,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B88329767373181_1,36201628B88329767373181,1,Central Visayas,298.4291687011719,1893.0347900390625,251.59979248046875,1954.3031005859375,161.8971710205078,1846.573486328125,6,4,11,PHL,85635.3125,3363463,43200.1328125,591869.75,8199136,140370.71875,801170.3125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B88329767373181_2,36201628B88329767373181,1,Central Visayas,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,8199136,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B88329767373181_3,36201628B88329767373181,1,Central Visayas,298.4291687011719,1893.0347900390625,251.59979248046875,1954.3031005859375,161.8971710205078,1846.573486328125,6,4,11,PHL,85635.3125,3363463,43200.1328125,591869.75,8199136,140370.71875,801170.3125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B29919658129037_0,36201628B29919658129037,1,Eastern Visayas,0,0,0,0,84.95906829833984,1517.064208984375,0,0,5,PHL,0,0,0,0,3160909.25,13970.0771484375,582930.4375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B29919658129037_1,36201628B29919658129037,1,Eastern Visayas,146.23828125,866.2021484375,3351.8369140625,5268.99951171875,104.27264404296875,1877.8402099609375,3,2,6,PHL,44135.2578125,157689.09375,45407.39453125,649401,4707848.5,22315.67578125,872222,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B29919658129037_2,36201628B29919658129037,1,Eastern Visayas,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,4707848.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B29919658129037_3,36201628B29919658129037,1,Eastern Visayas,146.23828125,866.2021484375,3351.8369140625,5268.99951171875,104.27264404296875,1877.8402099609375,3,2,6,PHL,44135.2578125,157689.09375,45407.39453125,649401,4707848.5,22315.67578125,872222,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B97761566458517_0,36201628B97761566458517,1,Northern Mindanao,0,0,0,0,12.541462898254395,1683.4193115234375,0,0,8,PHL,0,0,0,0,3103622.75,6080.1357421875,809298.375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B97761566458517_1,36201628B97761566458517,1,Northern Mindanao,2.566340208053589,537.79376220703125,884.6461181640625,3261.294189453125,441.265869140625,2121.27783203125,3,7,12,PHL,87.8361587524414,262929.96875,21931.80859375,739040.875,5702983.5,10425.615234375,1548927.125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B97761566458517_2,36201628B97761566458517,1,Northern Mindanao,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,5702983.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B97761566458517_3,36201628B97761566458517,1,Northern Mindanao,2.566340208053589,537.79376220703125,884.6461181640625,3261.294189453125,441.265869140625,2121.27783203125,3,7,12,PHL,87.8361587524414,262929.96875,21931.80859375,739040.875,5702983.5,10425.615234375,1548927.125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B90061603712355_0,36201628B90061603712355,1,Davao Region,1.1453256607055664,251.75904846191406,518.54376220703125,818.2808837890625,6.755190849304199,863.2696533203125,1,1,2,PHL,0.134719118475914,19603.5859375,22850.193359375,369878.03125,3326570.5,632.2393798828125,545280.9375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B90061603712355_1,36201628B90061603712355,1,Davao Region,189.92684936523438,2340.0625,518.54376220703125,818.2808837890625,63.181182861328125,1087.1239013671875,7,2,4,PHL,4530.603515625,408532.0625,30659.796875,583976.125,5860006.5,1104.2476806640625,947698.1875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B90061603712355_2,36201628B90061603712355,1,Davao Region,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,5860006.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B90061603712355_3,36201628B90061603712355,1,Davao Region,189.92684936523438,2340.0625,518.54376220703125,818.2808837890625,63.181182861328125,1087.1239013671875,7,2,4,PHL,4530.603515625,408532.0625,30659.796875,583976.125,5860006.5,1104.2476806640625,947698.1875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B76469343449086_0,36201628B76469343449086,1,Soccsksargen,0,0,121.99261474609375,458.6532287597656,1427.6546630859375,3159.476806640625,0,1,4,PHL,0,0,5317.35986328125,116233.7734375,3140236,139458.234375,449292.375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B76469343449086_1,36201628B76469343449086,1,Soccsksargen,139.39781188964844,745.20098876953125,121.99261474609375,458.6532287597656,1427.6546630859375,3159.476806640625,1,2,5,PHL,14527.47265625,211623.390625,11589.4296875,208420.8125,5215849,286241.9375,817361.5,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B76469343449086_2,36201628B76469343449086,1,Soccsksargen,0,0,0,0,0,0,0,0,0,PHL,0,0,0,0,5215849,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B76469343449086_3,36201628B76469343449086,1,Soccsksargen,139.39781188964844,745.20098876953125,121.99261474609375,458.6532287597656,1427.6546630859375,3159.476806640625,1,2,5,PHL,14527.47265625,211623.390625,11589.4296875,208420.8125,5215849,286241.9375,817361.5,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B99380759663697_0,36201628B99380759663697,1,Caraga,0,0,0,0,377.7718200683594,3083.944580078125,0,0,8,PHL,0,0,0,0,1868735.125,16583.56640625,382007.78125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B99380759663697_1,36201628B99380759663697,1,Caraga,1056.865966796875,2252.508544921875,0,0,810.22491455078125,3611.66552734375,4,0,9,PHL,157365.15625,412969.5625,0,0,2943670,29284.666015625,709082.5625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B99380759663697_2,36201628B99380759663697,1,Caraga,165.13626098632812,1391.1453857421875,0,0,0,0,2,0,0,PHL,13671.34375,241738,0,0,2943670,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36201628B99380759663697_3,36201628B99380759663697,1,Caraga,1190.8902587890625,2922.3212890625,0,0,810.22491455078125,3487.314453125,6,0,9,PHL,170933.5,592800.625,0,0,2943670,29284.666015625,622937.375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
