system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
38320839B10533035746056_0,38320839B10533035746056,1,Southern,0.019290300086140633,194.810546875,0,0,0,13.393601417541504,1,0,1,SLE,0,7961.63134765625,0,0,961247.1875,0,508.65631103515625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B10533035746056_1,38320839B10533035746056,1,Southern,76.0468978881836,413.3305358886719,65.79476165771484,456.2272033691406,0,13.401872634887695,2,1,2,SLE,174.56817626953125,18261.158203125,5.031574249267578,49136.2421875,1804240.5,0,634.5107421875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B10533035746056_2,38320839B10533035746056,1,Southern,0,0,0,0,71.62889862060547,3899.062744140625,0,0,13,SLE,0,0,0,0,1804240.5,2228.7998046875,344997.34375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B10533035746056_3,38320839B10533035746056,1,Southern,76.0468978881836,413.3305358886719,65.79476165771484,456.2272033691406,71.62889862060547,3821.253662109375,2,1,15,SLE,174.56817626953125,18261.158203125,5.031574249267578,49136.2421875,1804240.5,2228.7998046875,337685.4375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B88872338973316_0,38320839B88872338973316,1,Eastern,12.164897918701172,287.68182373046875,104.21184539794922,793.25848388671875,135.80523681640625,552.80743408203125,1,2,2,SLE,44.75198745727539,7360.5,768.7994384765625,20309.8203125,1103772.625,1884.2918701171875,34793.9140625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B88872338973316_1,38320839B88872338973316,1,Eastern,0,323.83929443359375,748.7550048828125,2282.185302734375,135.80523681640625,557.34405517578125,2,3,3,SLE,0,15012.7431640625,970.575927734375,106015.0859375,1744488.125,2430.21630859375,43289.5546875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B88872338973316_2,38320839B88872338973316,1,Eastern,0,0,0,0,383.7742004394531,3977.280517578125,0,0,6,SLE,0,0,0,0,1744488.125,44764.92578125,428434,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B88872338973316_3,38320839B88872338973316,1,Eastern,0,323.83929443359375,748.7550048828125,2282.185302734375,519.5794677734375,4329.30322265625,2,3,9,SLE,0,15012.7431640625,970.575927734375,106015.0859375,1744488.125,47195.14453125,458499.6875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B54273514798812_0,38320839B54273514798812,1,Western Area,0,0,163.94581604003906,412.2566223144531,0,0,0,1,0,SLE,0,0,10286.6416015625,895011.5,908727,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B54273514798812_1,38320839B54273514798812,1,Western Area,0,0,163.94581604003906,412.2566223144531,3.4212241172790527,1.6544177532196045,0,1,1,SLE,0,0,54852.828125,1816985,1876687.125,1.2067030668258667,27.039548873901367,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B54273514798812_2,38320839B54273514798812,1,Western Area,0,0,0,0,0,0,0,0,0,SLE,0,0,0,0,1876687.125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B54273514798812_3,38320839B54273514798812,1,Western Area,0,0,163.94581604003906,412.2566223144531,3.4212241172790527,1.6544177532196045,0,1,1,SLE,0,0,54852.828125,1816985,1876687.125,1.2067030668258667,27.039548873901367,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B67217096191525_0,38320839B67217096191525,1,Northern,0,0,1041.3961181640625,2709.0537109375,1015.17578125,2462.282470703125,0,4,5,SLE,0,0,1562.1492919921875,42291.43359375,1584046.625,7294.23876953125,101222.75,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B67217096191525_1,38320839B67217096191525,1,Northern,135.7850799560547,586.460205078125,1041.3961181640625,2709.0537109375,1015.17578125,2602.6083984375,1,4,7,SLE,782.7352294921875,32454.140625,2987.66259765625,74075.9296875,2757440.5,13378.974609375,186578.296875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B67217096191525_2,38320839B67217096191525,1,Northern,0,0,0,0,54.88829803466797,2285.453857421875,0,0,7,SLE,0,0,0,0,2757440.5,1774.63916015625,195699.390625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B67217096191525_3,38320839B67217096191525,1,Northern,135.7850799560547,586.460205078125,1041.3961181640625,2709.0537109375,1070.0640869140625,4680.02490234375,1,4,14,SLE,782.7352294921875,32454.140625,2987.66259765625,74075.9296875,2757440.5,15153.61328125,378239.375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
