system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
38320839B10533035746056_0,38320839B10533035746056,1,Southern,0.019290396943688393,194.69192504882812,0,0,0,13.385141372680664,1,0,1,SLE,0.8266641497612,7205.97021484375,0,0,986439.6875,0,789.9515380859375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B10533035746056_1,38320839B10533035746056,1,Southern,76.0468978881836,413.3220520019531,65.79476165771484,456.0557556152344,0,13.385141372680664,2,1,2,SLE,1484.1934814453125,17715.01953125,1742.56298828125,47322.75,1558382,0,756.18817138671875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B10533035746056_2,38320839B10533035746056,1,Southern,0,0,0,0,71.59503936767578,3896.52587890625,0,0,13,SLE,0,0,0,0,1558382,4882.28515625,294615.1875,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B10533035746056_3,38320839B10533035746056,1,Southern,76.0468978881836,413.3220520019531,65.79476165771484,456.0557556152344,71.59503936767578,3818.708740234375,2,1,15,SLE,1484.1934814453125,17715.01953125,1742.56298828125,47322.75,1558382,4882.28515625,289194.53125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B88872338973316_0,38320839B88872338973316,1,Eastern,12.156140327453613,287.5803527832031,104.21184539794922,793.25848388671875,135.80523681640625,552.63836669921875,1,2,2,SLE,419.8297119140625,7150.49853515625,3814.92529296875,18456.919921875,1108979.75,3136.28125,33072.078125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B88872338973316_1,38320839B88872338973316,1,Eastern,0,323.8138732910156,748.75274658203125,2281.545166015625,135.80523681640625,557.175048828125,2,3,3,SLE,0,13859.5458984375,18092.5546875,86772.5703125,1478096.375,2862.28076171875,27723.755859375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B88872338973316_2,38320839B88872338973316,1,Eastern,0,0,0,0,383.7742004394531,3964.207763671875,0,0,6,SLE,0,0,0,0,1478096.375,33367.13671875,370171,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B88872338973316_3,38320839B88872338973316,1,Eastern,0,323.8138732910156,748.75274658203125,2281.545166015625,519.5794677734375,4316.10400390625,2,3,9,SLE,0,13859.5458984375,18092.5546875,86772.5703125,1478096.375,36229.41796875,385986.1875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B54273514798812_0,38320839B54273514798812,1,Western Area,0,0,163.92044067382812,411.8347473144531,0,0,0,1,0,SLE,0,0,16842.802734375,764970.0625,788732.4375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B54273514798812_1,38320839B54273514798812,1,Western Area,0,0,163.92044067382812,411.8347473144531,3.4212255477905273,1.6544188261032104,0,1,1,SLE,0,0,38682.42578125,1353096,1405839.875,60.36482620239258,228.9661407470703,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B54273514798812_2,38320839B54273514798812,1,Western Area,0,0,0,0,0,0,0,0,0,SLE,0,0,0,0,1405839.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B54273514798812_3,38320839B54273514798812,1,Western Area,0,0,163.92044067382812,411.8347473144531,3.4212255477905273,1.6544188261032104,0,1,1,SLE,0,0,38682.42578125,1353096,1405839.875,60.36482620239258,228.9661407470703,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B67217096191525_0,38320839B67217096191525,1,Northern,0,0,1040.5574951171875,2639.006103515625,1014.1974487304688,2444.518310546875,0,4,5,SLE,0,0,6532.2060546875,49559.97265625,1607895.75,15143.1318359375,76693.640625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B67217096191525_1,38320839B67217096191525,1,Northern,135.7850799560547,586.434814453125,1040.5574951171875,2639.006103515625,1014.1974487304688,2584.84423828125,1,4,7,SLE,3765.96240234375,31965.841796875,10456.3515625,72037.9140625,2270651.25,20305.998046875,120204.1796875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B67217096191525_2,38320839B67217096191525,1,Northern,0,0,0,0,54.879859924316406,2284.643798828125,0,0,7,SLE,0,0,0,0,2270651.25,3418.6982421875,160662.171875,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38320839B67217096191525_3,38320839B67217096191525,1,Northern,135.7850799560547,586.434814453125,1040.5574951171875,2639.006103515625,1069.0772705078125,4661.458984375,1,4,14,SLE,3765.96240234375,31965.841796875,10456.3515625,72037.9140625,2270651.25,23724.697265625,275602.53125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
