system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
23847190B76461278489523_0,23847190B76461278489523,1,Tibesti,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,11911.287109375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B76461278489523_1,23847190B76461278489523,1,Tibesti,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,65633.546875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B76461278489523_2,23847190B76461278489523,1,Tibesti,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,65633.546875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B76461278489523_3,23847190B76461278489523,1,Tibesti,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,65633.546875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B42201300909064_0,23847190B42201300909064,1,Borkou,36316.25390625,6333.2412109375,0,0,0,0,1,0,0,TCD,23436.830078125,2891.108642578125,0,0,43848.6015625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B42201300909064_1,23847190B42201300909064,1,Borkou,36316.25390625,6333.2412109375,0,0,0,0,1,0,0,TCD,113031.5859375,16420.041015625,0,0,240793.859375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B42201300909064_2,23847190B42201300909064,1,Borkou,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,240793.859375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B42201300909064_3,23847190B42201300909064,1,Borkou,36316.25390625,6333.2412109375,0,0,0,0,1,0,0,TCD,113031.5859375,16420.041015625,0,0,240793.859375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B77249644038093_0,23847190B77249644038093,1,Ennedi-Ouest,1739.7138671875,2117.788818359375,0,0,0,0,2,0,0,TCD,652.1864013671875,946.81585693359375,0,0,20983.17578125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B77249644038093_1,23847190B77249644038093,1,Ennedi-Ouest,1739.7138671875,2117.788818359375,0,0,9330.8935546875,4611.17236328125,2,0,2,TCD,3542.870849609375,5471.0654296875,0,0,114956.5,22025.140625,7001.44677734375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
