system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
58719522B69518090574338_0,58719522B69518090574338,1,Oecusse,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,51704.00390625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B69518090574338_1,58719522B69518090574338,1,Oecusse,0,0,0,0,227.93930053710938,570.388427734375,0,0,5,TLS,0,0,0,0,73537.7265625,8460.1845703125,65006.90234375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B69518090574338_2,58719522B69518090574338,1,Oecusse,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,73537.7265625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B69518090574338_3,58719522B69518090574338,1,Oecusse,0,0,0,0,227.93930053710938,570.388427734375,0,0,5,TLS,0,0,0,0,73537.7265625,8460.1845703125,65006.90234375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B52176164477569_0,58719522B52176164477569,1,Aileu,0,0,0,0,2.5183632373809814,211.34861755371094,0,0,4,TLS,0,0,0,0,27811.669921875,83.50308990478516,8287.625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B52176164477569_1,58719522B52176164477569,1,Aileu,0,0,0,0,2.5183632373809814,224.7519989013672,0,0,5,TLS,0,0,0,0,68417.3671875,165.07861328125,23910.876953125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B52176164477569_2,58719522B52176164477569,1,Aileu,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,68417.3671875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B52176164477569_3,58719522B52176164477569,1,Aileu,0,0,0,0,2.5183632373809814,224.7519989013672,0,0,5,TLS,0,0,0,0,68417.3671875,165.07861328125,23910.876953125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B96669271034989_0,58719522B96669271034989,1,Ainaro,0,0,0,0,98.79366302490234,427.564208984375,0,0,1,TLS,0,0,0,0,64224.59765625,5268.4677734375,35042.17578125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B96669271034989_1,58719522B96669271034989,1,Ainaro,0,0,0,0,132.27499389648438,862.78326416015625,0,0,6,TLS,0,0,0,0,83512.0078125,8357.66015625,68826.359375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B96669271034989_2,58719522B96669271034989,1,Ainaro,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,83512.0078125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B96669271034989_3,58719522B96669271034989,1,Ainaro,0,0,0,0,132.27499389648438,862.78326416015625,0,0,6,TLS,0,0,0,0,83512.0078125,8357.66015625,68826.359375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B57750794760959_0,58719522B57750794760959,1,Baucau,0,0,0,0,94.2901611328125,672.1409912109375,0,0,2,TLS,0,0,0,0,97877.0703125,9032.6435546875,40280.29296875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B57750794760959_1,58719522B57750794760959,1,Baucau,0,10.23398494720459,0,0,168.63150024414062,696.966796875,1,0,9,TLS,0,59.66892623901367,0,0,135593.34375,6620.67529296875,49991.25,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B57750794760959_2,58719522B57750794760959,1,Baucau,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,135593.34375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B57750794760959_3,58719522B57750794760959,1,Baucau,0,10.23398494720459,0,0,168.63150024414062,696.966796875,1,0,9,TLS,0,59.66892623901367,0,0,135593.34375,6620.67529296875,49991.25,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B64128847782213_0,58719522B64128847782213,1,Bobonaro,0,0,0,0,2.8090991973876953,113.68321990966797,0,0,1,TLS,0,0,0,0,75841.359375,93.90242767333984,16984.55078125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B64128847782213_1,58719522B64128847782213,1,Bobonaro,0,0,0,0,91.79534149169922,1146.2578125,0,0,10,TLS,0,0,0,0,103001.8515625,4873.38623046875,93985.1484375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B64128847782213_2,58719522B64128847782213,1,Bobonaro,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,103001.8515625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B64128847782213_3,58719522B64128847782213,1,Bobonaro,0,0,0,0,91.79534149169922,1146.2578125,0,0,10,TLS,0,0,0,0,103001.8515625,4873.38623046875,93985.1484375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B58123781478976_0,58719522B58123781478976,1,Cova Lima,0,0,0,0,47.26363754272461,269.583984375,0,0,1,TLS,0,0,0,0,35876.3125,921.45819091796875,13898.365234375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B58123781478976_1,58719522B58123781478976,1,Cova Lima,0,0,0,0,111.10848999023438,614.33349609375,0,0,5,TLS,0,0,0,0,50389.96484375,3005.15087890625,30964.943359375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B58123781478976_2,58719522B58123781478976,1,Cova Lima,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,50389.96484375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B58123781478976_3,58719522B58123781478976,1,Cova Lima,0,0,0,0,111.10848999023438,614.33349609375,0,0,5,TLS,0,0,0,0,50389.96484375,3005.15087890625,30964.943359375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B43373882655947_0,58719522B43373882655947,1,Dili,0,0,0,0,42.62833786010742,242.7570037841797,0,0,2,TLS,0,0,0,0,119162.7265625,5830.5439453125,111545.3671875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B43373882655947_1,58719522B43373882655947,1,Dili,0,0,0,0,42.628936767578125,245.6210479736328,0,0,5,TLS,0,0,0,0,311529.625,8005.04052734375,300339.5625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B43373882655947_2,58719522B43373882655947,1,Dili,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,311529.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B43373882655947_3,58719522B43373882655947,1,Dili,0,0,0,0,42.628936767578125,245.6210479736328,0,0,5,TLS,0,0,0,0,311529.625,8005.04052734375,300339.5625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B37683587147705_0,58719522B37683587147705,1,Ermera,0,0,0,0,41.15278244018555,442.1470947265625,0,0,2,TLS,0,0,0,0,94857.25,1678.8778076171875,63046.2109375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B37683587147705_1,58719522B37683587147705,1,Ermera,0,0,0,0,41.15278244018555,530.72552490234375,0,0,7,TLS,0,0,0,0,150508.734375,1998.4095458984375,102731.7421875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B37683587147705_2,58719522B37683587147705,1,Ermera,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,150508.734375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B37683587147705_3,58719522B37683587147705,1,Ermera,0,0,0,0,41.15278244018555,530.72552490234375,0,0,7,TLS,0,0,0,0,150508.734375,1998.4095458984375,102731.7421875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B74673759114814_0,58719522B74673759114814,1,Lautém,0,0,0,0,0,28.834348678588867,0,0,1,TLS,0,0,0,0,52316.85546875,0,787.6903076171875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B74673759114814_1,58719522B74673759114814,1,Lautém,666.7332763671875,633.4649658203125,0,0,44.67241668701172,152.8585968017578,1,0,5,TLS,13062.7080078125,39571.3984375,0,0,66363.9765625,1378.0780029296875,4860.53515625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
