iso3,source,scenario,pop_year,first_pop_total,second_pop_total,pop_total_abs_change,pop_total_pct_change,first_pop_inside_all,second_pop_inside_all,pop_inside_all_abs_change,pop_inside_all_pct_change,first_pop_inside_or_10km_all,second_pop_inside_or_10km_all,pop_inside_or_10km_all_abs_change,pop_inside_or_10km_all_pct_change,first_area_inside_all,second_area_inside_all,area_inside_all_abs_change,area_inside_all_pct_change,first_area_inside_or_10km_all,second_area_inside_or_10km_all,area_inside_or_10km_all_abs_change,area_inside_or_10km_all_pct_change,first_count_strict,second_count_strict,first_count_nonstrict,second_count_nonstrict,first_count_unknowncat,second_count_unknowncat
AFG,GHSL,Confirmed_2000,2000,19530403.319625404,19572462.7421875,42059.42256209627,0.215353579103163,17911.253138888387,0,-17911.253138888387,-100,170844.53839453214,0,-170844.53839453214,-100,293.43445351677127,0,-293.43445351677127,-100,4757.293929166997,0,-4757.293929166997,-100,3,0,2,0,2,0
AFG,GHSL,Confirmed_2020,2020,38783236.95850113,38895579.90625,112342.94774886966,0.28966882746037664,425604.49557171715,397153.02525520325,-28451.470316513907,-6.684955307695909,5784592.928978026,5157957.718492508,-626635.210485518,-10.832831595571353,21489.625897578488,21797.70937895775,308.0834813792608,1.433638178940921,40128.444287665414,35334.91454863548,-4793.529739029931,-11.945466175232104,5,2,2,2,2,0
AFG,GHSL,Unknown_Year,2020,38783236.95850113,38895579.90625,112342.94774886966,0.28966882746037664,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
AGO,GHSL,Confirmed_2000,2000,16365967.430173399,16365398.9375,-568.4926733989269,-0.0034736270606943497,242444.16470377642,243080.27325439453,636.1085506181116,0.2623732154557413,470481.79495109397,397739.4873764515,-72742.30757464247,-15.461237470878963,82181.35709100486,82205.51104819402,24.15395718916261,0.029391042012624997,134428.21659100315,119739.54528891668,-14688.67130208647,-10.926776888498523,3,2,2,2,9,0
AGO,GHSL,Confirmed_2020,2020,33358318.650916047,33354493.75,-3824.9009160473943,-0.011466108217484634,576095.7487329142,575221.2513427734,-874.4973901407793,-0.15179723024587152,1329803.7406144307,1048831.2554137707,-280972.48520066007,-21.12886861566789,82234.08568841394,82205.51104819402,-28.574640219914727,-0.03474792718944359,139063.88538216686,119739.54528891668,-19324.340093250183,-13.896016237532995,3,2,2,2,11,0
AGO,GHSL,Unknown_Year,2020,33358318.65091606,33354493.75,-3824.90091605857,-0.011466108217518133,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
BEN,GHSL,Confirmed_2000,2000,6835643.589689193,6885925.125,50281.53531080671,0.7355786569482763,106762.16112476842,107570.72972583771,808.568601069288,0.7573550334227012,1615129.980328594,1045955.4788560867,-569174.5014725074,-35.240166946607616,24280.123313435528,24729.501531362534,449.3782179270056,1.850806983662805,63108.72862930731,55578.393743276596,-7530.334886030716,-11.932319109552896,4,2,4,2,11,10
BEN,GHSL,Confirmed_2020,2020,12348692.15054881,12442913.1875,94221.03695118986,0.7630041773047392,211626.8082056356,211012.82015419006,-613.9880514455435,-0.290127728453447,2932433.773395773,1961271.2089481354,-971162.5644476376,-33.11797092430246,24280.94058597386,24729.501531362534,448.5609453886718,1.84737878584402,63161.57684647279,55578.393743276596,-7583.183103196192,-12.00600662904392,5,2,4,2,11,10
BEN,GHSL,Unknown_Year,2020,12348692.15054881,12442913.1875,94221.03695118986,0.7630041773047392,802.7087721311285,0,-802.7087721311285,-100,258117.06417685258,0,-258117.06417685258,-100,74.39842005824195,0,-74.39842005824195,-100,2465.74499591834,0,-2465.74499591834,-100,0,0,0,0,4,0
BGD,GHSL,Confirmed_2000,2000,125293567.77929261,126278655.5,985087.7207073867,0.7862236970078468,479071.26345379686,340296.4665527344,-138774.79690106248,-28.967464234983563,6122829.054712459,4797260.641967773,-1325568.412744686,-21.649606756936272,3862.021640280371,4120.223986148834,258.20234586846345,6.685678380862692,13167.116415681821,11992.222982883453,-1174.893432798368,-8.922936470730136,3,3,2,2,3,2
BGD,GHSL,Confirmed_2020,2020,162342872.8951256,163635842,1292969.1048744023,0.7964434051315992,836061.1732723494,702352.0059375763,-133709.1673347731,-15.992749287882186,18068566.72248005,15266082.533281326,-2802484.189198725,-15.510273904083425,3401.0092822169004,3856.97332572937,455.96404351246974,13.406727405791022,21321.143558601074,19066.714849472046,-2254.428709129028,-10.573676327129172,6,6,7,7,3,2
